Entrada;Resultado Prog. Dinâmica;Tempo Prog. Dinâmica;Resultado Prog. Guloso;Tempo Prog. Guloso;
1245;507;0,023925;-303;0,000023;
1250;580;0,023291;-302;0,000026;
1255;527;0,027402;-292;0,000021;
1260;507;0,026353;-336;0,000020;
1265;547;0,025188;-287;0,000021;
1270;539;0,026353;-292;0,000019;
1275;519;0,025130;-240;0,000028;
1280;535;0,026400;-350;0,000020;
1285;545;0,025809;-358;0,000021;
1290;564;0,023781;-255;0,000021;
1295;574;0,028727;-335;0,000021;
1300;566;0,027383;-304;0,000036;
1305;534;0,026462;-357;0,000024;
1310;565;0,030361;-287;0,000029;
1315;527;0,028598;-352;0,000021;
1320;570;0,026830;-336;0,000021;
1325;529;0,027998;-326;0,000022;
1330;554;0,026872;-202;0,000022;
1335;612;0,027685;-351;0,000021;
1340;559;0,030667;-365;0,000021;
1345;557;0,028964;-331;0,000024;
1350;558;0,028952;-276;0,000022;
1355;583;0,030252;-299;0,000022;
1360;584;0,030133;-289;0,000021;
1365;579;0,030011;-462;0,000022;
1370;604;0,029753;-365;0,000022;
1375;614;0,031577;-319;0,000022;
1380;579;0,030763;-387;0,000022;
1385;556;0,031490;-350;0,000022;
1390;602;0,033432;-364;0,000023;
1395;588;0,035553;-387;0,000022;
1400;583;0,031789;-392;0,000032;
1405;593;0,037440;-346;0,000030;
1410;645;0,032153;-351;0,000032;
1415;583;0,032337;-338;0,000029;
1420;590;0,033403;-337;0,000023;
1425;576;0,031595;-348;0,000022;
1430;637;0,033115;-410;0,000023;
1435;596;0,031766;-334;0,000036;
1440;636;0,032664;-336;0,000023;
1445;586;0,032769;-314;0,000023;
1450;599;0,033255;-349;0,000023;
1455;594;0,035209;-345;0,000028;
1460;586;0,033581;-368;0,000024;
1465;653;0,033390;-325;0,000024;
1470;615;0,033865;-351;0,000023;
1475;649;0,035727;-422;0,000023;
1480;596;0,034826;-385;0,000049;
1485;687;0,039867;-405;0,000042;
1490;628;0,036666;-404;0,000023;
1495;626;0,037381;-319;0,000023;
1500;603;0,034934;-300;0,000024;
1505;625;0,034594;-305;0,000023;
1510;620;0,036668;-319;0,000024;
1515;657;0,035462;-435;0,000024;
1520;646;0,035810;-416;0,000023;
1525;650;0,035263;-349;0,000025;
1530;639;0,035707;-384;0,000024;
1535;676;0,036140;-314;0,000024;
1540;650;0,035704;-373;0,000024;
1545;681;0,035662;-408;0,000024;
1550;667;0,036190;-353;0,000025;
1555;704;0,035639;-376;0,000041;
1560;687;0,037865;-348;0,000034;
1565;661;0,037748;-374;0,000024;
1570;656;0,037507;-400;0,000024;
1575;657;0,037969;-366;0,000024;
1580;646;0,040180;-332;0,000025;
1585;677;0,039322;-442;0,000024;
1590;684;0,038603;-492;0,000024;
1595;664;0,038666;-473;0,000023;
1600;695;0,039310;-337;0,000024;
1605;663;0,039524;-378;0,000025;
1610;661;0,039097;-437;0,000024;
1615;704;0,039495;-379;0,000026;
1620;681;0,040205;-375;0,000025;
1625;673;0,040002;-419;0,000025;
1630;704;0,041250;-367;0,000024;
1635;711;0,040780;-396;0,000025;
1640;721;0,041219;-437;0,000025;
1645;689;0,041040;-400;0,000025;
1650;726;0,040728;-474;0,000025;
1655;742;0,041942;-383;0,000026;
1660;761;0,041536;-379;0,000026;
1665;714;0,041331;-423;0,000026;
1670;745;0,042089;-386;0,000039;
1675;740;0,041804;-475;0,000024;
1680;708;0,042826;-411;0,000025;
1685;703;0,042489;-455;0,000026;
1690;731;0,042609;-376;0,000026;
1695;717;0,043719;-489;0,000026;
1700;691;0,043231;-491;0,000027;
1705;731;0,044408;-424;0,000026;
1710;756;0,044646;-573;0,000026;
1715;712;0,044467;-398;0,000026;
1720;752;0,046331;-445;0,000026;
1725;756;0,044469;-441;0,000026;
1730;739;0,044764;-443;0,000026;
1735;740;0,046568;-430;0,000027;
1740;732;0,046162;-549;0,000026;
1745;730;0,046041;-428;0,000039;
1750;719;0,045200;-463;0,000027;
1755;747;0,046697;-420;0,000027;
1760;805;0,048076;-482;0,000027;
1765;764;0,046889;-475;0,000027;
1770;795;0,047399;-426;0,000027;
1775;790;0,048184;-422;0,000027;
1780;755;0,049462;-292;0,000028;
1785;741;0,047722;-414;0,000027;
1790;793;0,048601;-407;0,000052;
1795;722;0,049241;-421;0,000027;
1800;777;0,048352;-462;0,000029;
1805;811;0,048475;-389;0,000027;
1810;776;0,048908;-424;0,000046;
1815;759;0,049597;-465;0,000027;
1820;766;0,049822;-395;0,000027;
1825;848;0,050020;-430;0,000028;
1830;825;0,050001;-429;0,000028;
1835;817;0,050149;-314;0,000029;
1840;812;0,050271;-565;0,000028;
1845;813;0,051058;-426;0,000028;
1850;793;0,050495;-416;0,000029;
1855;797;0,051211;-496;0,000028;
1860;804;0,050707;-525;0,000029;
1865;823;0,052101;-479;0,000028;
1870;800;0,052162;-487;0,000029;
1875;807;0,052502;-522;0,000028;
1880;784;0,052308;-476;0,000030;
1885;836;0,052425;-433;0,000028;
1890;783;0,053427;-465;0,000029;
1895;784;0,052541;-413;0,000029;
1900;836;0,054566;-481;0,000029;
1905;837;0,052970;-408;0,000030;
1910;802;0,055997;-548;0,000029;
1915;836;0,054646;-511;0,000029;
1920;780;0,054497;-480;0,000034;
1925;826;0,055037;-434;0,000030;
1930;824;0,055926;-445;0,000029;
1935;858;0,055196;-498;0,000029;
1940;811;0,055860;-566;0,000042;
1945;836;0,056328;-508;0,000029;
1950;816;0,055655;-567;0,000031;
1955;862;0,057699;-428;0,000030;
1960;806;0,059609;-493;0,000029;
1965;828;0,058053;-420;0,000030;
1970;838;0,060660;-434;0,000031;
1975;914;0,062304;-550;0,000030;
1980;861;0,059254;-516;0,000031;
1985;808;0,057807;-536;0,000032;
1990;869;0,059558;-472;0,000031;
1995;882;0,065004;-483;0,000031;
2000;850;0,058905;-539;0,000031;
2005;875;0,074207;-475;0,000041;
2010;879;0,065612;-474;0,000031;
2015;865;0,061767;-437;0,000031;
2020;878;0,059840;-541;0,000032;
2025;891;0,060880;-528;0,000031;
2030;886;0,060522;-473;0,000067;
2035;857;0,061441;-481;0,000031;
2040;891;0,061967;-396;0,000032;
2045;853;0,060664;-449;0,000043;
2050;896;0,061710;-556;0,000045;
2055;858;0,061765;-462;0,000031;
2060;892;0,061448;-518;0,000031;
2065;872;0,062537;-526;0,000031;
2070;858;0,062632;-603;0,000031;
2075;847;0,062366;-509;0,000032;
2080;950;0,063288;-457;0,000045;
2085;897;0,063004;-564;0,000031;
2090;874;0,064085;-419;0,000033;
2095;941;0,065976;-580;0,000031;
2100;942;0,067723;-528;0,000031;
2105;928;0,064265;-533;0,000031;
2110;902;0,065303;-505;0,000032;
2115;942;0,064964;-615;0,000032;
2120;925;0,065752;-524;0,000033;
2125;971;0,064753;-547;0,000032;
2130;960;0,065203;-543;0,000032;
2135;925;0,067385;-518;0,000034;
2140;974;0,066507;-514;0,000032;
2145;924;0,066886;-402;0,000032;
2150;958;0,067727;-560;0,000033;
2155;953;0,068417;-412;0,000034;
2160;933;0,068796;-579;0,000033;
2165;985;0,067003;-464;0,000033;
2170;938;0,069378;-631;0,000033;
2175;951;0,069647;-591;0,000032;
2180;901;0,068876;-551;0,000061;
2185;929;0,071058;-715;0,000033;
2190;1005;0,069338;-498;0,000033;
2195;982;0,069751;-518;0,000033;
2200;950;0,069596;-532;0,000034;
2205;984;0,069843;-621;0,000033;
2210;952;0,070874;-476;0,000033;
2215;962;0,070336;-481;0,000033;
2220;996;0,070535;-543;0,000034;
2225;955;0,071723;-611;0,000033;
2230;983;0,071899;-496;0,000034;
2235;978;0,072158;-489;0,000034;
2240;943;0,072324;-512;0,000034;
2245;977;0,073122;-709;0,000034;
2250;975;0,072988;-432;0,000034;
2255;1021;0,073660;-410;0,000034;
2260;977;0,074760;-556;0,000035;
2265;996;0,074439;-561;0,000034;
2270;925;0,075097;-485;0,000035;
